date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2025-04-06,6.9,3.36,3.45,0,,,78,45.8,51.5,25,1.3,-7.9,-5.7,-12.7,34,22.54,17,0,46,33,101.77,101.59,101.61,101.45,99.64,99.46,99.49,99.33,24100,24100,24100,24100,,,,,14.6,0,0,0,0,0,0,0,,06:51:00,1743936660,6.85,19:50:00,1743983400,19.83,12.98,6,6,6,6,-2,-1,,,,,,8,6.5,5,2,,,,
2025-04-05,10.7,6.37,7,3.3,,,100,83.7,75.5,51,9.4,3.6,3.3,-2.8,28,15.29,16.5,5,44,31,102.4,101.52,101.71,101.02,100.28,99.41,99.6,98.92,24100,18541.7,15250,6400,,,,,11,0,2,0,0,4.1,4.1,0,,06:53:00,1743850380,6.88,19:49:00,1743896940,19.82,12.93,1,2,12,13,-1,0,,,,,,8,7.7,7,6,,,,
2025-04-04,11,5.79,5.9,0.8,,,73,56.5,57,41,-0.7,-2.4,-2.2,-3.8,19,12.17,12,5,32,31,102.91,102.61,102.48,102.05,100.76,100.47,100.36,99.95,24100,24100,24100,24100,,,,,12.1,0,0.9,0,0,0,0,0,,06:54:00,1743764040,6.9,19:48:00,1743810480,19.8,12.9,6,6,10,12,4,6,,,,,,8,4.6,4.5,1,,,,
2025-04-03,20,11.41,11.8,3.6,,,100,73.1,72,44,15.2,6,7.3,-0.5,51,28.12,29,7,75,25,101.96,100.98,101.22,100.49,99.86,98.89,99.13,98.4,24100,17766.7,12350,600,,,,,6.2,0,6.8,4.8,1.8,8.7,8.7,0,,06:56:00,1743677760,6.93,19:46:00,1743723960,19.77,12.83,6,6,17,18,1,1,,,,,,8,6.7,5.5,3,,,,
2025-04-02,4.7,0.18,1.5,-1.7,,-9,100,77,70,40,3.3,-3.9,-4.3,-12,37,24.54,23.5,10,58,10,102.91,102.18,101.89,100.86,100.74,100.02,99.74,98.74,24100,16695.8,12350,600,,,,,16.5,0,0,0,0,29.5,25.7,3.8,3,06:58:00,1743591480,6.97,19:45:00,1743637500,19.75,12.78,1,4,2,2,2,2,,,,,,8,8,7.5,7,,,,
2025-04-01,3.7,0.79,0.9,-1.9,,-6,79,48.8,53.5,28,-2.5,-9.5,-8.2,-13.8,35,20.54,22.5,10,44,32,102.86,102.25,102.12,101.37,100.69,100.1,99.97,99.25,24100,24100,24100,24100,,,,,17.1,0,0,0,0,0,0,0,,07:00:00,1743505200,7,19:44:00,1743551040,19.73,12.73,5,5,4,4,-3,-1,,,,,,8,3.9,4.5,1,,,,
2025-03-31,12,5.16,6.25,0.5,,,100,82.4,81,62,11.9,2.3,4,-3.8,42,25.08,21,0,59,26,101.32,100.4,100.56,99.8,99.2,98.31,98.46,97.72,24100,20041.7,12150,200,,,,,11.8,0,1.2,0,0,0,0,0,,07:01:00,1743418860,7.02,19:43:00,1743464580,19.72,12.7,2,2,9,9,-3,-3,,,,,,8,7.6,5,2,,,,
2025-03-30,4.3,1.94,1.95,-0.4,,-4,100,100,100,100,3.8,1.9,1.8,-0.3,14,8.04,9.5,5,31,28,101.85,101.12,101.04,100.23,99.7,98.99,98.91,98.13,19300,7029.2,9750,200,,,,,16.1,0,0,0,0,8,8,0,,07:03:00,1743332580,7.05,19:42:00,1743378120,19.7,12.65,1,1,5,6,5,5,,,,,,8,7.8,6.5,5,,,,
2025-03-29,1.8,0.68,0.7,-0.4,,-6,100,99.7,98,96,1.7,0.6,0.7,-0.3,27,13.71,17,7,31,1,101.96,101.63,101.51,101.05,99.81,99.49,99.37,98.93,24100,13887.5,14450,4800,,,,,17.3,0,0,0,0,8.5,8.5,0,,07:05:00,1743246300,7.08,19:40:00,1743291600,19.67,12.58,2,2,2,2,0,0,,,,,,8,8,8,8,,,,
2025-03-28,4.4,2.1,2.55,0.7,,,100,75,76.5,53,1.5,-2.2,-2.1,-5.7,18,12.62,12.5,7,,,102.29,101.85,101.69,101.1,100.15,99.71,99.56,98.97,24100,19345.8,14450,4800,,,,,15.4,0,0,0,0,2.8,2.8,0,,07:07:00,1743160020,7.12,19:39:00,1743205140,19.65,12.53,4,4,3,5,0,4,,,,,,8,7.1,4,0,,,,
2025-03-27,12.7,3.48,3.09,-6.5,,-10,76,55.2,51.5,27,1.3,-5.5,-4.2,-9.8,30,16.04,15,0,57,25,102.46,102.17,102.11,101.76,100.29,100.02,99.96,99.62,24100,24100,24100,24100,,,,,14.9,0,0,0,0,0,0,0,,07:09:00,1743073740,7.15,19:38:00,1743118680,19.63,12.48,4,4,11,11,-1,0,,,,,,8,2.7,4,0,,,,
2025-03-26,4.1,-0.24,0.04,-4,,-8,87,62.1,62,37,-2.8,-7.1,-7.3,-11.8,30,18.46,17.5,5,49,31,102.39,101.97,101.98,101.57,100.22,99.82,99.82,99.42,24100,22229.2,14450,4800,,,,,18,0,0,0,0,0.2,0,0.2,,07:10:00,1742987400,7.17,19:37:00,1743032220,19.62,12.45,2,3,3,3,-6,-4,,,,,,8,4.5,4,0,,,,
